inputsize, time
1, 0.000003
2, 0.000003
3, 0.000004
4, 0.000004
5, 0.000006
6, 0.000007
7, 0.000008
8, 0.000010
9, 0.000012
10, 0.000014
11, 0.000017
12, 0.000019
13, 0.000023
14, 0.000026
15, 0.000030
16, 0.000035
17, 0.000039
18, 0.000044
19, 0.000049
20, 0.000055
21, 0.000061
22, 0.000069
23, 0.000076
24, 0.000086
25, 0.000099
26, 0.000113
27, 0.000120
28, 0.000129
29, 0.000141
30, 0.000150
31, 0.000168
32, 0.000185
33, 0.000205
34, 0.000217
35, 0.000232
36, 0.000247
37, 0.000265
38, 0.000286
39, 0.000288
40, 0.000313
41, 0.000328
42, 0.000345
43, 0.000365
44, 0.000384
45, 0.000400
46, 0.000419
47, 0.000439
48, 0.000461
49, 0.000495
50, 0.000499
51, 0.000521
52, 0.000541
53, 0.000564
54, 0.000586
55, 0.000608
56, 0.000546
57, 0.000317
58, 0.000328
59, 0.000340
60, 0.000352
61, 0.000363
62, 0.000376
63, 0.000388
64, 0.000400
65, 0.000413
66, 0.000426
67, 0.000438
68, 0.000452
69, 0.000466
70, 0.000480
71, 0.000493
72, 0.000507
73, 0.000522
74, 0.000536
75, 0.000555
76, 0.000564
77, 0.000580
78, 0.000596
79, 0.000610
80, 0.000625
81, 0.000645
82, 0.000658
83, 0.000673
84, 0.000690
85, 0.000707
86, 0.000721
87, 0.000741
88, 0.000757
89, 0.000772
90, 0.000790
91, 0.000807
92, 0.000828
93, 0.000855
94, 0.000878
95, 0.000881
96, 0.000905
97, 0.000918
98, 0.000943
99, 0.000963
100, 0.000977
101, 0.000996
102, 0.001013
103, 0.001033
104, 0.001066
105, 0.001072
106, 0.001093
107, 0.001114
108, 0.001136
109, 0.001154
110, 0.001175
111, 0.001201
112, 0.001217
113, 0.001252
114, 0.001279
115, 0.001303
116, 0.001324
117, 0.001326
118, 0.001373
119, 0.001393
120, 0.001398
121, 0.001440
122, 0.001465
123, 0.001491
124, 0.001487
125, 0.001512
126, 0.001557
127, 0.001584
128, 0.001617
129, 0.001632
130, 0.001664
131, 0.001693
132, 0.001682
133, 0.001746
134, 0.001770
135, 0.001787
136, 0.001822
137, 0.001816
138, 0.001878
139, 0.001864
140, 0.001888
141, 0.001960
142, 0.001942
143, 0.001967
144, 0.002013
145, 0.002022
146, 0.002104
147, 0.002133
148, 0.002105
149, 0.002177
150, 0.002161
151, 0.002200
152, 0.002217
153, 0.002312
154, 0.002283
155, 0.002325
156, 0.002353
157, 0.002433
158, 0.002426
159, 0.002496
160, 0.002526
161, 0.002562
162, 0.002593
163, 0.002560
164, 0.002659
165, 0.002643
166, 0.002641
167, 0.002724
168, 0.002787
169, 0.002791
170, 0.002856
171, 0.002894
172, 0.002828
173, 0.002886
174, 0.002896
175, 0.003024
176, 0.003064
177, 0.003101
178, 0.003026
179, 0.003149
180, 0.003207
181, 0.003235
182, 0.003164
183, 0.003196
184, 0.003320
185, 0.003379
186, 0.003424
187, 0.003336
188, 0.003370
189, 0.003536
190, 0.003440
191, 0.003515
192, 0.003564
193, 0.003676
194, 0.003721
195, 0.003762
196, 0.003803
197, 0.003693
198, 0.003730
199, 0.003922
200, 0.003803
201, 0.003969
202, 0.004038
203, 0.004014
204, 0.003955
205, 0.004164
206, 0.004169
207, 0.004218
208, 0.004111
209, 0.004302
210, 0.004192
211, 0.004379
212, 0.004456
213, 0.004425
214, 0.004347
215, 0.004470
216, 0.004560
217, 0.004469
218, 0.004511
219, 0.004550
220, 0.004711
221, 0.004730
222, 0.004674
223, 0.004725
224, 0.004935
225, 0.004799
226, 0.005064
227, 0.004946
228, 0.004953
229, 0.005198
230, 0.005109
231, 0.005279
232, 0.005269
233, 0.005271
234, 0.005187
235, 0.005230
236, 0.005284
237, 0.005318
238, 0.005362
239, 0.005545
240, 0.005682
241, 0.005603
242, 0.005817
243, 0.005764
244, 0.005634
245, 0.005957
246, 0.005883
247, 0.006031
248, 0.005991
249, 0.006134
250, 0.006011
251, 0.006148
252, 0.006200
253, 0.006352
254, 0.006103
255, 0.006301
256, 0.006526
257, 0.006557
258, 0.006416
259, 0.006600
260, 0.006584
261, 0.006723
262, 0.006533
263, 0.006733
264, 0.006700
265, 0.006971
266, 0.006792
267, 0.006730
268, 0.007133
269, 0.006980
270, 0.007075
271, 0.007092
272, 0.007337
273, 0.007165
274, 0.007456
275, 0.007302
276, 0.007217
277, 0.007611
278, 0.007478
279, 0.007544
280, 0.007496
281, 0.007710
282, 0.007825
283, 0.007635
284, 0.007914
285, 0.007859
286, 0.008015
287, 0.007970
288, 0.008040
289, 0.008176
290, 0.008141
291, 0.008334
292, 0.008462
293, 0.008495
294, 0.008578
295, 0.008379
296, 0.008485
297, 0.008518
298, 0.008823
299, 0.008824
300, 0.008688
301, 0.008814
302, 0.008728
303, 0.009021
304, 0.008955
305, 0.009242
306, 0.008824
307, 0.009274
308, 0.009208
309, 0.009001
310, 0.009549
311, 0.009212
312, 0.009543
313, 0.009733
314, 0.009797
315, 0.009342
316, 0.009867
317, 0.009596
318, 0.009874
319, 0.009737
320, 0.009876
321, 0.010047
322, 0.009751
323, 0.010044
324, 0.010692
325, 0.010300
326, 0.010614
327, 0.010327
328, 0.010496
329, 0.010428
330, 0.010238
331, 0.010670
332, 0.010433
333, 0.010561
334, 0.010602
335, 0.010932
336, 0.011078
337, 0.010749
338, 0.010960
339, 0.011175
340, 0.010998
341, 0.011328
342, 0.011620
343, 0.011165
344, 0.011608
345, 0.011670
346, 0.011331
347, 0.011883
348, 0.011652
349, 0.011660
350, 0.011900
351, 0.011958
352, 0.011940
353, 0.011982
354, 0.012060
355, 0.012300
356, 0.012128
357, 0.012298
358, 0.012751
359, 0.012608
360, 0.012421
361, 0.012597
362, 0.012575
363, 0.012753
364, 0.013071
365, 0.013203
366, 0.013001
367, 0.012914
368, 0.013005
369, 0.013495
370, 0.013068
371, 0.013573
372, 0.013438
373, 0.013410
374, 0.013336
375, 0.013778
376, 0.013767
377, 0.013987
378, 0.013842
379, 0.014021
380, 0.013903
381, 0.014198
382, 0.014261
383, 0.014595
384, 0.014101
385, 0.014291
386, 0.014540
387, 0.014531
388, 0.014339
389, 0.014884
390, 0.015147
391, 0.014966
392, 0.014596
393, 0.014636
394, 0.014922
395, 0.015057
396, 0.015123
397, 0.015231
398, 0.015331
399, 0.015449
400, 0.015433
401, 0.015575
402, 0.015845
403, 0.015915
404, 0.016233
405, 0.016062
406, 0.016026
407, 0.015879
408, 0.016059
409, 0.016110
410, 0.016405
411, 0.016313
412, 0.015990
413, 0.016420
414, 0.016489
415, 0.016816
416, 0.016673
417, 0.016918
418, 0.017056
419, 0.016947
420, 0.016781
421, 0.017015
422, 0.017292
423, 0.017175
424, 0.017542
425, 0.017381
426, 0.017734
427, 0.017863
428, 0.017706
429, 0.017923
430, 0.017767
431, 0.017657
432, 0.018001
433, 0.017915
434, 0.018042
435, 0.018565
436, 0.018352
437, 0.018819
438, 0.018660
439, 0.018590
440, 0.019093
441, 0.019124
442, 0.018786
443, 0.019286
444, 0.019008
445, 0.019458
446, 0.019308
447, 0.019161
448, 0.019537
449, 0.019307
450, 0.019411
451, 0.019984
452, 0.019764
453, 0.020167
454, 0.019856
455, 0.019837
456, 0.020435
457, 0.020659
458, 0.020267
459, 0.020993
460, 0.020773
461, 0.020875
462, 0.020646
463, 0.020767
464, 0.021131
465, 0.021156
466, 0.021025
467, 0.021190
468, 0.021239
469, 0.021094
470, 0.020998
471, 0.021491
472, 0.021196
473, 0.021360
474, 0.021471
475, 0.022044
476, 0.022019
477, 0.022106
478, 0.022342
479, 0.022044
480, 0.022484
481, 0.022145
482, 0.022293
483, 0.022382
484, 0.022528
485, 0.022441
486, 0.022815
487, 0.022589
488, 0.022284
489, 0.023078
490, 0.023354
491, 0.023562
492, 0.023836
493, 0.023916
494, 0.023261
495, 0.023435
496, 0.023959
497, 0.023980
498, 0.023967
499, 0.023818
500, 0.024298
501, 0.024723
502, 0.024124
503, 0.024927
504, 0.024528
505, 0.024151
506, 0.024996
507, 0.024843
508, 0.024962
509, 0.024990
510, 0.025528
511, 0.024565
512, 0.025031
513, 0.025039
514, 0.025702
515, 0.025172
516, 0.025851
517, 0.026078
518, 0.026101
519, 0.026500
520, 0.026888
521, 0.026012
522, 0.026576
523, 0.026493
524, 0.026427
525, 0.026940
526, 0.026926
527, 0.026862
528, 0.027102
529, 0.027035
530, 0.027169
531, 0.027790
532, 0.027521
533, 0.026769
534, 0.027345
535, 0.028028
536, 0.027257
537, 0.028218
538, 0.027479
539, 0.028628
540, 0.027887
541, 0.028049
542, 0.028156
543, 0.028953
544, 0.028569
545, 0.028915
546, 0.028795
547, 0.029423
548, 0.029059
549, 0.029086
550, 0.028779
551, 0.029457
552, 0.029953
553, 0.029067
554, 0.029685
555, 0.029235
556, 0.029785
557, 0.029348
558, 0.030147
559, 0.030829
560, 0.030250
561, 0.030450
562, 0.030067
563, 0.030227
564, 0.030018
565, 0.030802
566, 0.030889
567, 0.030909
568, 0.031079
569, 0.031438
570, 0.031316
571, 0.031497
572, 0.031415
573, 0.032017
574, 0.031923
575, 0.032741
576, 0.032817
577, 0.032954
578, 0.032599
579, 0.032889
580, 0.032526
581, 0.032266
582, 0.033009
583, 0.032556
584, 0.033434
585, 0.033074
586, 0.033121
587, 0.033657
588, 0.032720
589, 0.033562
590, 0.033632
591, 0.033501
592, 0.033654
593, 0.034157
594, 0.034084
595, 0.033608
596, 0.034857
597, 0.034490
598, 0.033798
599, 0.034610
600, 0.034401
601, 0.035344
602, 0.035148
603, 0.034944
604, 0.035308
605, 0.035153
606, 0.035229
607, 0.035750
608, 0.034823
609, 0.036056
610, 0.035813
611, 0.036062
612, 0.036256
613, 0.036281
614, 0.036286
615, 0.035964
616, 0.036604
617, 0.037053
618, 0.036559
619, 0.037193
620, 0.036622
621, 0.037259
622, 0.037073
623, 0.036558
624, 0.037536
625, 0.038067
626, 0.037922
627, 0.038547
628, 0.038023
629, 0.037880
630, 0.038100
631, 0.038340
632, 0.038439
633, 0.038906
634, 0.038438
635, 0.038961
636, 0.039802
637, 0.039878
638, 0.039743
639, 0.039230
640, 0.040041
641, 0.039329
642, 0.039579
643, 0.039525
644, 0.039861
645, 0.040023
646, 0.040063
647, 0.040828
648, 0.040438
649, 0.039998
650, 0.041063
651, 0.041120
652, 0.040693
653, 0.041021
654, 0.040680
655, 0.041053
656, 0.040902
657, 0.042118
658, 0.041914
659, 0.042342
660, 0.041930
661, 0.042272
662, 0.042599
663, 0.042673
664, 0.042480
665, 0.042896
666, 0.042427
667, 0.042349
668, 0.042546
669, 0.043040
670, 0.043782
671, 0.043922
672, 0.043726
673, 0.044143
674, 0.043794
675, 0.044742
676, 0.044241
677, 0.044418
678, 0.044487
679, 0.044496
680, 0.045421
681, 0.044544
682, 0.045606
683, 0.044772
684, 0.045294
685, 0.045076
686, 0.045646
687, 0.045076
688, 0.045607
689, 0.045084
690, 0.045495
691, 0.045775
692, 0.046230
693, 0.046359
694, 0.046253
695, 0.047045
696, 0.047065
697, 0.046705
698, 0.047181
699, 0.046804
700, 0.047039
701, 0.047753
702, 0.047808
703, 0.047734
704, 0.047481
705, 0.048311
706, 0.048464
707, 0.048260
708, 0.047718
709, 0.047957
710, 0.047644
711, 0.048637
712, 0.048215
713, 0.049043
714, 0.048086
715, 0.049136
716, 0.049900
717, 0.049723
718, 0.049678
719, 0.049598
720, 0.049200
721, 0.049384
722, 0.050259
723, 0.050382
724, 0.050770
725, 0.051388
726, 0.052114
727, 0.050703
728, 0.050698
729, 0.050966
730, 0.050198
731, 0.050925
732, 0.051110
733, 0.051749
734, 0.051613
735, 0.051445
736, 0.051824
737, 0.052336
738, 0.052478
739, 0.052583
740, 0.052108
741, 0.052498
742, 0.053182
743, 0.054150
744, 0.053246
745, 0.053885
746, 0.054844
747, 0.054046
748, 0.053538
749, 0.054337
750, 0.054507
751, 0.054472
752, 0.053655
753, 0.055271
754, 0.054367
755, 0.054282
756, 0.054950
757, 0.054903
758, 0.055021
759, 0.055379
760, 0.056511
761, 0.056065
762, 0.056103
763, 0.056551
764, 0.056318
765, 0.056158
766, 0.056059
767, 0.056668
768, 0.056683
769, 0.056768
770, 0.056304
771, 0.057214
772, 0.057726
773, 0.056989
774, 0.056674
775, 0.056843
776, 0.057669
777, 0.058080
778, 0.058093
779, 0.058553
780, 0.059809
781, 0.058880
