inputsize, time
10, 0.000102
20, 0.000220
30, 0.000331
40, 0.000435
50, 0.000560
60, 0.000657
70, 0.000765
80, 0.000877
90, 0.000982
100, 0.001178
110, 0.001287
120, 0.001419
130, 0.001523
140, 0.001646
150, 0.001759
160, 0.001866
170, 0.001968
180, 0.001989
190, 0.002087
200, 0.002188
210, 0.002307
220, 0.002413
230, 0.002523
240, 0.002629
250, 0.002742
260, 0.002998
270, 0.002970
280, 0.003073
290, 0.003178
300, 0.003287
310, 0.003401
320, 0.003508
330, 0.003621
340, 0.003731
350, 0.003844
360, 0.003946
370, 0.004055
380, 0.004181
390, 0.004283
400, 0.004391
410, 0.004497
420, 0.004599
430, 0.004719
440, 0.004835
450, 0.004940
460, 0.005043
470, 0.005156
480, 0.005272
490, 0.005375
500, 0.005483
510, 0.005596
520, 0.005706
530, 0.005821
540, 0.005915
550, 0.006047
560, 0.006140
570, 0.006270
580, 0.006358
590, 0.006472
600, 0.006579
610, 0.006700
620, 0.006803
630, 0.006903
640, 0.007016
650, 0.007127
660, 0.007240
670, 0.007355
680, 0.007463
690, 0.007552
700, 0.007677
710, 0.007785
720, 0.007896
730, 0.007998
740, 0.008117
750, 0.008223
760, 0.008339
770, 0.008458
780, 0.008572
790, 0.008666
800, 0.008772
810, 0.008879
820, 0.008998
830, 0.009118
840, 0.009219
850, 0.009325
860, 0.009434
870, 0.009542
880, 0.009659
890, 0.009776
900, 0.009884
910, 0.009978
920, 0.010099
930, 0.010206
940, 0.010308
950, 0.010407
960, 0.010525
970, 0.010655
980, 0.010756
990, 0.010875
1000, 0.011009
