max, time
3, 0.000406
5, 0.001277
7, 0.002920
9, 0.005894
11, 0.006649
13, 0.004686
15, 0.007442
17, 0.007328
19, 0.007245
21, 0.008094
23, 0.009796
25, 0.009801
27, 0.011078
29, 0.012353
31, 0.012360
33, 0.013220
35, 0.014960
37, 0.015840
39, 0.017200
41, 0.017467
43, 0.018930
45, 0.019762
47, 0.022035
49, 0.024403
51, 0.023364
53, 0.024027
55, 0.024044
57, 0.025777
59, 0.026626
61, 0.026638
63, 0.027519
65, 0.030054
67, 0.029999
69, 0.030074
71, 0.031768
73, 0.031768
75, 0.032573
77, 0.035127
79, 0.035165
81, 0.035142
83, 0.037270
85, 0.036901
87, 0.038525
89, 0.039380
91, 0.039469
93, 0.041103
95, 0.041917
97, 0.042893
99, 0.042867
101, 0.045331
103, 0.044619
105, 0.045411
107, 0.048750
109, 0.047173
111, 0.048155
113, 0.051689
115, 0.049711
117, 0.051399
119, 0.053005
121, 0.053102
123, 0.053504
125, 0.056836
127, 0.055642
129, 0.055637
131, 0.059424
133, 0.057353
135, 0.059037
137, 0.061530
139, 0.059992
141, 0.060756
143, 0.066654
145, 0.063324
147, 0.064202
149, 0.067095
151, 0.065050
153, 0.065868
155, 0.070429
157, 0.068453
159, 0.068424
161, 0.072063
163, 0.070967
165, 0.071016
167, 0.075623
169, 0.072744
171, 0.073937
173, 0.077924
175, 0.075223
177, 0.077706
179, 0.079822
181, 0.077848
183, 0.078670
185, 0.082420
187, 0.082997
189, 0.082024
191, 0.086530
193, 0.082939
195, 0.083797
197, 0.088318
199, 0.085485
