inputsize, time
40, 0.000006
60, 0.000012
80, 0.000012
100, 0.000014
120, 0.000016
140, 0.000019
160, 0.000022
180, 0.000024
200, 0.000027
220, 0.000029
240, 0.000031
260, 0.000034
280, 0.000037
300, 0.000039
320, 0.000042
340, 0.000044
360, 0.000047
380, 0.000049
400, 0.000052
420, 0.000054
440, 0.000057
460, 0.000064
480, 0.000066
500, 0.000068
520, 0.000075
540, 0.000075
560, 0.000077
580, 0.000081
600, 0.000083
620, 0.000085
640, 0.000083
660, 0.000085
680, 0.000087
700, 0.000090
720, 0.000136
740, 0.000095
760, 0.000098
780, 0.000101
800, 0.000103
820, 0.000105
840, 0.000118
860, 0.000110
880, 0.000113
900, 0.000115
920, 0.000117
940, 0.000121
960, 0.000127
980, 0.000127
1000, 0.000128
1020, 0.000154
1040, 0.000132
1060, 0.000136
1080, 0.000137
1100, 0.000140
1120, 0.000143
1140, 0.000147
1160, 0.000147
1180, 0.000150
1200, 0.000153
1220, 0.000155
1240, 0.000158
1260, 0.000163
1280, 0.000164
1300, 0.000167
1320, 0.000168
1340, 0.000172
1360, 0.000175
1380, 0.000176
1400, 0.000178
1420, 0.000180
1440, 0.000269
1460, 0.000185
1480, 0.000188
1500, 0.000194
1520, 0.000260
1540, 0.000216
1560, 0.000198
1580, 0.000205
1600, 0.000205
1620, 0.000206
1640, 0.000209
1660, 0.000262
1680, 0.000214
1700, 0.000220
1720, 0.000218
1740, 0.000222
1760, 0.000224
1780, 0.000314
1800, 0.000229
1820, 0.000231
1840, 0.000236
1860, 0.000236
1880, 0.000239
1900, 0.000242
1920, 0.000243
1940, 0.000249
1960, 0.000250
1980, 0.000275
2000, 0.000254
