inputsize, time
20, 0.000010
40, 0.000035
60, 0.000066
80, 0.000094
100, 0.000142
120, 0.000190
140, 0.000278
160, 0.000321
180, 0.000399
200, 0.000487
220, 0.000605
240, 0.000776
260, 0.000816
280, 0.000927
300, 0.001065
320, 0.001452
340, 0.001535
360, 0.001271
380, 0.001025
400, 0.000977
420, 0.001003
440, 0.001105
460, 0.001198
480, 0.001274
500, 0.001407
520, 0.001574
540, 0.001634
560, 0.001741
580, 0.002170
600, 0.001987
620, 0.002175
640, 0.002281
660, 0.002504
680, 0.002536
700, 0.002707
720, 0.002864
740, 0.003081
760, 0.003178
780, 0.003321
800, 0.004109
820, 0.003743
840, 0.003931
860, 0.004046
880, 0.004232
900, 0.004469
920, 0.005096
940, 0.005219
960, 0.005373
980, 0.005315
1000, 0.005581
