max, time
3, 0.001661
5, 0.002693
7, 0.002378
9, 0.003661
11, 0.004081
13, 0.004935
15, 0.006635
17, 0.006669
19, 0.007509
21, 0.009196
23, 0.009217
25, 0.010495
27, 0.011769
29, 0.011789
31, 0.012646
33, 0.014340
35, 0.015194
37, 0.015220
39, 0.016917
41, 0.016934
43, 0.017790
45, 0.020318
47, 0.019505
49, 0.020781
51, 0.022067
53, 0.023657
55, 0.023766
57, 0.024630
59, 0.026225
61, 0.027103
63, 0.028038
65, 0.029204
67, 0.029712
69, 0.029777
71, 0.031435
73, 0.032255
75, 0.034242
77, 0.034456
79, 0.034825
81, 0.036373
83, 0.036535
85, 0.037790
87, 0.038581
89, 0.039101
91, 0.040268
93, 0.041181
95, 0.042093
97, 0.042557
99, 0.044574
101, 0.045062
103, 0.045194
105, 0.049845
107, 0.046843
109, 0.047707
111, 0.050356
113, 0.049411
115, 0.050492
117, 0.052209
119, 0.052226
121, 0.052816
123, 0.055492
125, 0.054906
127, 0.055442
129, 0.057971
131, 0.057128
133, 0.058407
135, 0.060667
137, 0.059721
139, 0.060599
141, 0.064363
143, 0.062617
145, 0.063419
147, 0.066375
149, 0.064846
151, 0.065681
153, 0.069316
155, 0.067620
157, 0.068302
159, 0.072831
161, 0.070304
163, 0.070883
165, 0.074967
167, 0.072678
169, 0.073889
171, 0.077879
173, 0.075169
175, 0.078463
177, 0.080129
179, 0.077709
181, 0.078566
183, 0.082861
185, 0.081824
187, 0.081377
189, 0.085038
191, 0.082832
193, 0.083679
195, 0.087687
197, 0.085402
199, 0.086244
